iter	Passed	Remaining
468	713	807
469	714	805
470	715	803
471	716	801
472	717	799
473	718	797
474	719	795
475	720	793
476	721	791
477	724	790
478	725	789
479	726	787
480	727	785
481	728	783
482	729	781
483	730	779
484	732	777
485	733	775
486	734	773
487	735	772
488	737	770
489	738	768
490	739	766
491	740	764
492	741	762
493	742	760
494	743	758
495	744	756
496	745	754
497	746	752
498	748	751
499	750	750
500	751	748
501	752	746
502	753	744
503	754	742
504	755	740
505	756	738
506	757	736
507	758	734
508	760	733
509	762	732
510	763	730
511	764	728
512	765	726
513	766	724
514	767	722
515	768	720
516	769	718
517	770	716
518	771	715
519	773	713
520	774	711
521	775	709
522	776	707
523	777	705
524	778	704
525	779	702
526	780	700
527	781	698
528	782	696
529	783	695
530	785	693
531	786	691
532	787	689
533	788	687
534	789	685
535	790	684
536	791	682
537	792	680
538	793	678
539	794	676
540	796	675
541	797	673
542	798	671
543	799	670
544	800	668
545	801	666
546	802	664
547	803	662
548	804	660
549	805	658
550	806	656
551	808	656
552	809	654
553	810	652
554	811	651
555	812	649
556	813	647
557	814	645
558	815	643
559	816	641
560	817	639
561	818	638
562	820	637
563	822	635
564	823	633
565	824	632
566	825	630
567	827	629
568	828	627
569	829	625
570	831	624
571	833	623
572	834	622
573	835	620
574	837	618
575	838	616
576	839	615
577	840	613
578	841	611
579	842	610
580	843	608
581	845	607
582	846	605
583	847	603
584	848	602
585	849	600
586	850	598
587	851	596
588	853	595
589	854	593
590	856	592
591	857	590
592	858	589
593	860	587
594	861	586
595	862	584
596	863	582
597	864	580
598	865	579
599	867	578
600	868	576
601	869	574
602	870	573
603	872	572
604	874	571
605	877	570
606	883	572
607	884	570
608	887	569
609	888	567
610	889	566
611	892	565
612	894	564
613	895	563
614	896	561
615	897	559
616	899	558
617	900	556
618	901	554
619	903	553
620	905	552
621	906	551
622	908	549
623	910	548
624	913	547
625	916	547
626	919	547
627	920	545
628	921	543
629	923	542
630	924	540
631	927	539
632	928	538
633	929	536
634	931	535
635	932	533
636	933	531
637	934	530
638	937	529
639	939	528
640	941	527
641	942	525
642	943	524
643	945	522
644	946	521
645	947	519
646	950	518
647	952	517
648	953	515
649	954	513
650	955	512
651	956	510
652	957	508
653	958	507
654	959	505
655	962	504
656	964	503
657	965	501
658	966	499
659	967	498
660	968	496
661	969	494
662	970	493
663	971	491
664	974	490
665	976	489
666	977	488
667	978	486
668	979	484
669	981	483
670	982	481
671	983	479
672	984	478
673	985	476
674	987	475
675	988	473
676	989	472
677	990	470
678	991	468
679	992	467
680	993	465
681	994	463
682	995	462
683	996	460
684	998	459
685	999	457
686	1001	456
687	1002	454
688	1004	453
689	1005	451
690	1007	450
691	1010	449
692	1011	447
693	1012	446
694	1014	445
695	1015	443
696	1016	441
697	1017	440
698	1018	438
699	1020	437
700	1021	435
701	1022	434
702	1024	432
703	1025	431
704	1026	429
705	1027	427
706	1028	426
707	1029	424
708	1032	423
709	1034	422
710	1035	420
711	1036	419
712	1037	417
713	1039	416
714	1040	414
715	1041	413
716	1042	411
717	1046	410
718	1048	409
719	1049	408
720	1050	406
721	1051	404
722	1052	403
723	1053	401
724	1054	400
725	1055	398
726	1058	397
727	1059	395
728	1060	394
729	1061	392
730	1062	391
731	1063	389
732	1064	387
733	1065	386
734	1066	384
735	1068	383
736	1071	382
737	1072	380
738	1073	379
739	1074	377
740	1075	375
741	1076	374
742	1077	372
743	1078	371
744	1079	369
745	1081	368
746	1083	366
747	1084	365
748	1085	363
749	1086	362
750	1088	360
751	1089	359
752	1090	357
753	1091	356
754	1093	354
755	1094	353
756	1095	351
757	1097	350
758	1098	348
759	1099	347
760	1100	345
761	1101	344
762	1102	342
763	1103	340
764	1108	340
765	1109	338
766	1109	337
767	1110	335
768	1111	334
769	1112	332
770	1113	330
771	1114	329
772	1115	327
773	1117	326
774	1120	325
775	1121	323
776	1122	322
777	1123	320
778	1124	318
779	1125	317
780	1126	315
781	1127	314
782	1128	312
783	1130	311
784	1132	310
785	1133	308
786	1134	307
787	1135	305
788	1136	303
789	1137	302
790	1138	300
791	1139	299
792	1140	297
793	1141	296
794	1143	294
795	1144	293
796	1145	291
797	1146	290
798	1147	288
799	1148	287
800	1149	285
801	1150	284
802	1151	282
803	1152	281
804	1153	279
805	1155	278
806	1156	276
807	1157	275
808	1158	273
809	1159	272
810	1160	270
811	1161	269
812	1162	267
813	1163	265
814	1165	264
815	1166	263
816	1167	261
817	1168	260
818	1169	258
819	1170	257
820	1171	255
821	1172	253
822	1173	252
823	1174	250
824	1175	249
825	1177	248
826	1179	246
827	1180	245
828	1181	243
829	1181	242
830	1182	240
831	1183	239
832	1184	237
833	1185	236
834	1186	234
835	1187	233
836	1190	231
837	1191	230
838	1192	228
839	1193	227
840	1194	225
841	1195	224
842	1196	222
843	1197	221
844	1198	219
845	1199	218
846	1200	216
847	1202	215
848	1203	214
849	1204	212
850	1205	211
851	1207	209
852	1207	208
853	1208	206
854	1209	205
855	1210	203
856	1211	202
857	1212	200
858	1215	199
859	1216	198
860	1217	196
861	1218	195
862	1219	193
863	1220	192
864	1221	190
865	1222	189
866	1223	187
867	1224	186
868	1225	184
869	1228	183
870	1229	182
871	1230	180
872	1231	179
873	1232	177
874	1233	176
875	1234	174
876	1235	173
877	1236	171
878	1237	170
879	1238	168
880	1239	167
881	1240	166
882	1242	164
883	1243	163
884	1244	161
885	1245	160
886	1246	158
887	1248	157
888	1249	156
889	1250	154
890	1251	153
891	1252	151
892	1253	150
893	1254	148
894	1255	147
895	1256	145
896	1257	144
897	1258	142
898	1260	141
899	1261	140
900	1262	138
901	1263	137
902	1264	135
903	1265	134
904	1266	132
905	1267	131
906	1267	130
907	1268	128
908	1271	127
909	1272	125
910	1273	124
911	1274	123
912	1275	121
913	1276	120
914	1277	118
915	1278	117
916	1279	115
917	1280	114
918	1281	112
919	1284	111
920	1285	110
921	1286	108
922	1287	107
923	1288	106
924	1289	104
925	1290	103
926	1291	101
927	1292	100
928	1293	98
929	1295	97
930	1297	96
931	1298	94
932	1299	93
933	1300	91
934	1301	90
935	1302	89
936	1303	87
937	1304	86
938	1305	84
939	1306	83
940	1308	82
941	1309	80
942	1310	79
943	1311	77
944	1312	76
945	1313	74
946	1314	73
947	1315	72
948	1316	70
949	1317	69
950	1319	67
951	1320	66
952	1321	65
953	1322	63
954	1323	62
955	1324	60
956	1325	59
957	1326	58
958	1327	56
959	1328	55
960	1329	53
961	1330	52
962	1332	51
963	1333	49
964	1334	48
965	1335	46
966	1336	45
967	1337	44
968	1338	42
969	1339	41
970	1340	40
971	1341	38
972	1343	37
973	1344	35
974	1345	34
975	1346	33
976	1347	31
977	1348	30
978	1349	28
979	1350	27
980	1351	26
981	1352	24
982	1353	23
983	1355	22
984	1356	20
985	1357	19
986	1358	17
987	1359	16
988	1360	15
989	1361	13
990	1362	12
991	1363	10
992	1364	9
993	1365	8
994	1368	6
995	1369	5
996	1370	4
997	1371	2
998	1372	1
999	1373	0
